OPEID,state abv,state,city,Name,Address,Zip Code,Zip Ext,"Prog
Length","School
Type",Year 1,"
Num 1","
Denom 1",DRate 1,PRate 1,Ethnic Code,Cong Dis,Region,"Average or
Greater than 30",Year 2,"
Num 2","
Denom 2",DRate 2,PRate 2,Year 3,"
Num 3","
Denom 3",DRate 3,PRate 3
1050,AL,Alabama,Tuskegee,TUSKEGEE UNIVERSITY                                              ,308 KRESGE CENTER                                 ,36088,1645,8,2,2016,115,850,13.5,P,2,3,4,0,2015,101,876,11.5,P,2014,93,806,11.5,P
42200,AR,Arkansas,Fort Smith,DESIGNER BARBER & STYLIST SCHOOL                                 ,2409 SOUTH 56TH STREET             SUITE 118      ,72903,3753,3,3,2016,6,30,20,A,5,3,6,0,2015,6,38,15.7,B,2014,1,10,10,B
1104,AR,Arkansas,Helena-West Helena,PHILLIPS COMMUNITY COLLEGE OF THE UNIVERSITY OF ARKANSAS         ,1000 CAMPUS DRIVE                                 ,72342,0,5,1,2016,20,114,17.5,B,5,1,6,1,2015,4,35,11.4,A,2014,13,59,22,A
39745,CA,California,Canoga Park,CALIFORNIA CAREER COLLEGE                                        ,7003 OWENSMOUTH AVENUE                            ,91303,2006,5,3,2016,2,40,5,A,5,27,9,0,2015,7,71,9.8,A,2014,2,40,5,A
7130,CA,California,Granada Hills,NEWBERRY SCHOOL OF BEAUTY                                        ,16852 DEVONSHIRE STREET                           ,91344,7404,3,3,2016,5,88,5.6,P,5,27,9,0,2015,1,81,1.2,P,2014,6,92,6.5,P
20912,CA,California,Hollywood,ELEGANCE INTERNATIONAL                                           ,6767 SUNSET BOULEVARD                             ,90028,6106,3,3,2016,52,318,16.3,A,5,33,9,0,2015,12,181,6.6,A,2014,8,72,11.1,A
21618,CA,California,Hollywood,MUSICIANS INSTITUTE                                              ,6752 HOLLYWOOD BOULEVARD                          ,90028,6157,8,3,2016,33,432,7.6,A,5,33,9,0,2015,41,480,8.5,A,2014,52,542,9.5,A
40373,CA,California,Hollywood,LOS ANGELES FILM SCHOOL (THE)                                    ,6363 WEST SUNSET BOULEVARD                        ,90028,7300,6,3,2016,193,1077,17.9,A,5,31,9,0,2015,267,1205,22.1,A,2014,281,1384,20.3,A
40764,CA,California,Hollywood,GNOMON                                                           ,1015 NORTH CAHUENGA BOULEVARD      SUITE 5430I    ,90038,2616,6,3,2016,1,49,2,A,5,31,9,0,2015,1,39,2.5,A,2014,1,31,3.2,A
1317,CA,California,La Jolla,"UNIVERSITY OF CALIFORNIA, SAN DIEGO                              ",9500 GILMAN DRIVE                  SUITE #0013 - 4,92093,13,8,1,2016,80,4572,1.7,P,5,53,9,0,2015,105,4928,2.1,P,2014,118,5436,2.1,P
11460,CA,California,La Jolla,NATIONAL UNIVERSITY                                              ,11255 NORTH TORREY PINES ROAD                     ,92037,1011,8,2,2016,310,6234,4.9,A,5,53,9,0,2015,377,6770,5.5,A,2014,415,7195,5.7,A
7607,CA,California,Hollywood,CONCORDE CAREER COLLEGE                                          ,12412 VICTORY BOULEVARD                           ,91606,3134,5,3,2016,30,494,6,A,5,28,9,0,2015,66,503,13.1,A,2014,64,524,12.2,A
41596,CA,California,Hollywood,GALAXY MEDICAL COLLEGE                                           ,6400 LAUREL CANYON BOULEVARD       SUITE 115      ,91606,1593,3,3,2016,13,74,17.5,B,5,28,9,1,2015,3,30,10,A,2014,7,30,23.3,A
1153,CA,California,Northridge,"CALIFORNIA STATE UNIVERSITY, NORTHRIDGE                          ",18111 NORDHOFF                                    ,91330,8307,8,1,2016,264,6973,3.7,P,3,27,9,0,2015,413,7546,5.4,P,2014,372,7110,5.2,P
41898,CA,California,Northridge,ACADEMY FOR SALON PROFESSIONALS                                  ,19520 NORDHOFF STREET              SUITE # 9      ,91324,2305,3,3,2016,6,52,11.5,A,5,30,9,0,2015,6,53,11.3,A,2014,9,73,12.3,A
41460,CA,California,Panorama City,NATIONAL CAREER COLLEGE                                          ,14355 ROSCOE BOULEVARD             1ST FLOOR      ,91402,4222,5,3,2016,30,179,16.7,A,5,28,9,0,2015,16,74,21.6,A,2014,10,65,15.3,A
36463,CA,California,Paso Robles,DESIGN'S SCHOOL OF COSMETOLOGY                                   ,2727 BUENA VISTA DRIVE             SUITE 105      ,93446,9530,3,3,2016,16,122,13.1,A,5,22,9,0,2015,24,111,21.6,A,2014,24,106,22.6,A
41812,CA,California,Reseda,SOUTHERN CALIFORNIA HEALTH INSTITUTE (SOCHI)                     ,18040 SHERMAN WAY                  SUITE 500      ,91335,3100,3,3,2016,77,387,19.8,A,5,27,9,0,2015,87,351,24.7,A,2014,56,251,22.3,A
41913,CA,California,Reseda,ANNENBERG SCHOOL OF NURSING                                      ,19300 SHERMAN WAY                                 ,91335,3711,3,2,2016,2,29,6.8,B,5,30,9,1,2015,0,15,0,B,2014,0,10,0,B
41582,CA,California,Sherman Oaks,PAUL MITCHELL THE SCHOOL SHERMAN OAKS                            ,"15301 VENTURA BOULEVARD, UNIT P2                  ",91403,5882,3,3,2016,18,172,10.4,A,5,28,9,0,2015,22,162,13.5,A,2014,9,161,5.5,A
12550,CA,California,Sylmar,LOS ANGELES MISSION COLLEGE                                      ,13356 ELDRIDGE AVENUE                             ,91342,3200,5,1,2016,25,203,12.3,A,3,27,9,0,2015,35,248,14.1,A,2014,28,200,14,A
21102,CA,California,Tarzana,COLUMBIA COLLEGE HOLLYWOOD                                       ,18618 OXNARD STREET                               ,91356,1411,6,2,2016,45,339,13.2,P,5,27,9,0,2015,28,272,10.2,P,2014,8,138,5.7,A
25459,CA,California,Tarzana,HYPNOSIS MOTIVATION INSTITUTE                                    ,"18607 VENTURA BLVD, SUITE 310                     ",91356,4154,3,2,2016,3,107,2.8,A,5,27,9,0,2015,8,100,8,A,2014,18,101,17.8,A
1132,CA,California,Valencia,CALIFORNIA INSTITUTE OF THE ARTS                                 ,24700 MCBEAN PARKWAY                              ,91355,2397,8,2,2016,16,320,5,A,5,25,9,0,2015,25,392,6.3,A,2014,19,362,5.2,A
41589,CA,California,Valencia,FLAIR BEAUTY COLLEGE                                             ,23754 VALENCIA BOULEVARD                          ,91355,2196,3,3,2016,3,39,7.6,A,5,25,9,0,2015,1,35,2.8,A,2014,1,45,2.2,A
1228,CA,California,Valley Glen,LOS ANGELES VALLEY COLLEGE                                       ,5800 FULTON AVENUE                                ,91401,4096,5,1,2016,45,439,10.2,A,3,28,9,0,2015,67,492,13.6,A,2014,64,425,15,A
6731,CA,California,Van Nuys,CASA LOMA COLLEGE                                                ,6725 KESTER AVENUE                                ,91405,4523,5,2,2016,7,236,2.9,A,5,28,9,0,2015,33,348,9.4,A,2014,31,391,7.9,A
25916,CA,California,Van Nuys,NORTH-WEST COLLEGE                                               ,14540 HAYNES STREET                               ,91411,1611,3,3,2016,1,184,0.5,A,5,29,9,0,2015,5,147,3.4,A,2014,4,151,2.6,A
41145,CA,California,West Hills,VALLEY COLLEGE OF MEDICAL CAREERS                                ,8399 TOPANGA CANYON BOULEVARD      SUITE 200      ,91304,2354,5,3,2016,13,77,16.8,A,5,30,9,0,2015,10,52,19.2,A,2014,12,66,18.1,A
1224,CA,California,Wilmington,LOS ANGELES HARBOR COLLEGE                                       ,1111 FIGUEROA PLACE                               ,90744,2397,5,1,2016,9,117,7.6,P,3,36,9,0,2015,11,102,10.7,P,2014,23,119,19.3,P
1226,CA,California,Woodland Hills,LOS ANGELES PIERCE COLLEGE                                       ,6201 WINNETKA AVENUE                              ,91371,1,5,1,2016,83,626,13.2,A,5,27,9,0,2015,96,695,13.8,A,2014,107,624,17.1,A
1434,DC,District Of,Washington,AMERICAN UNIVERSITY (THE)                                        ,4400 MASSACHUSETTS AVENUE NW                      ,20016,8020,8,2,2016,50,2717,1.8,A,5,AL      ,3,0,2015,49,2682,1.8,A,2014,66,2749,2.4,A
1437,DC,District Of,Washington,CATHOLIC UNIVERSITY OF AMERICA (THE)                             ,"620 MICHIGAN AVENUE, NORTHEAST                    ",20064,2,8,2,2016,34,1342,2.5,P,5,AL      ,3,0,2015,50,1448,3.4,P,2014,33,1390,2.3,P
1441,DC,District Of,Washington,UNIVERSITY OF THE DISTRICT OF COLUMBIA                           ,"4200 CONNECTICUT AVENUE NORTHWEST  BLDG. 39, SUITE",20008,1175,8,1,2016,187,1245,15,P,2,AL      ,3,0,2015,223,1473,15.1,P,2014,204,1251,16.3,P
1443,DC,District Of,Washington,GALLAUDET UNIVERSITY                                             ,800 FLORIDA AVENUE NORTHEAST                      ,20002,3695,8,2,2016,25,286,8.7,A,5,AL      ,3,0,2015,28,315,8.8,A,2014,37,321,11.5,A
1444,DC,District Of,Washington,GEORGE WASHINGTON UNIVERSITY                                     ,"2121 I STREET, NW                                 ",20052,2353,8,2,2016,87,4491,1.9,P,5,AL      ,3,0,2015,79,4632,1.7,P,2014,89,4910,1.8,P
1445,DC,District Of,Washington,GEORGETOWN UNIVERSITY                                            ,37TH AND O STREETS NORTHWEST                      ,20057,1252,8,2,2016,40,3100,1.2,P,5,AL      ,3,0,2015,35,3239,1,P,2014,28,3290,0.8,P
1448,DC,District Of,Washington,HOWARD UNIVERSITY                                                ,"2400 SIXTH STREET, NW                             ",20059,1,8,2,2016,218,2722,8,P,2,AL      ,3,0,2015,197,2506,7.8,P,2014,201,2641,7.6,P
1459,DC,District Of,Washington,STRAYER UNIVERSITY                                               ,1133 15TH STREET NW                SUITE 200      ,20005,2603,8,3,2016,2148,20612,10.4,A,5,AL      ,3,0,2015,2527,23813,10.6,A,2014,3574,27068,13.2,A
1460,DC,District Of,Washington,TRINITY WASHINGTON UNIVERSITY                                    ,"125 MICHIGAN AVENUE, NORTHEAST                    ",20017,1004,8,2,2016,121,874,13.8,A,5,AL      ,3,0,2015,134,1082,12.3,A,2014,103,1001,10.2,A
1464,DC,District Of,Washington,WESLEY THEOLOGICAL SEMINARY                                      ,4500 MASSACHUSETTS AVENUE NW                      ,20016,5690,8,2,2016,2,82,2.4,A,5,AL      ,3,0,2015,4,102,3.9,A,2014,3,96,3.1,A
12803,DC,District Of,Washington,DOMINICAN HOUSE OF STUDIES                                       ,487 MICHIGAN AVENUE NORTHEAST                     ,20017,1584,8,2,2016,0,14,0,B,5,AL      ,3,1,2015,0,19,0,B,2014,0,18,0,B
21328,DC,District Of,Washington,NATIONAL CONSERVATORY OF DRAMATIC ARTS                           ,1556 WISCONSIN AVENUE NORTHWEST                   ,20007,2758,4,2,2016,7,51,13.7,B,5,AL      ,3,1,2015,7,50,14,B,2014,4,41,9.7,B
31043,DC,District Of,Washington,CAREER TECHNICAL INSTITUTE                                       ,"1101 VERMONT AVE, NW                              ",20005,3521,5,3,2016,97,432,22.4,A,5,AL      ,3,0,2015,156,544,28.6,A,2014,164,548,29.9,A
32183,DC,District Of,Washington,UNIVERSITY OF THE POTOMAC                                        ,1401 H STREET NORTHWEST                           ,20005,9997,8,3,2016,18,89,20.2,A,5,AL      ,3,0,2015,30,179,16.7,A,2014,34,178,19.1,A
34096,DC,District Of,Washington,BENNETT CAREER INSTITUTE                                         ,700 MONROE ST NE                                  ,20017,1754,3,3,2016,53,131,40.4,A,5,AL      ,3,0,2015,43,154,27.9,A,2014,35,118,29.6,A
37503,DC,District Of,Washington,PROSPECT COLLEGE                                                 ,1720 I STREET NW SUITE 200                        ,20006,3749,3,3,2016,78,353,22,A,5,AL      ,3,0,2015,64,304,21,A,2014,34,235,14.4,A
41144,DC,District Of,Washington,INSTITUTE OF WORLD POLITICS (THE)                                ,"1521 16TH STREET, NW                              ",20036,1464,8,2,2016,0,51,0,A,5,AL      ,3,0,2015,0,33,0,A,2014,1,53,1.8,A
41427,DC,District Of,Washington,PONTIFICAL JOHN PAUL II INSTITUTE FOR STUDIES ON MARRIAGE AND FAM,"620 MICHIGAN AVENUE, NE            MCGIVNEY HALL  ",20064,1,8,2,2016,0,29,0,B,5,AL      ,3,1,2015,0,30,0,B,2014,0,34,0,B
39413,FL,Florida,Ave Maria,AVE MARIA UNIVERSITY                                             ,5050 AVE MARIA BOULEVARD                          ,34142,9505,8,2,2016,13,301,4.3,A,5,14,4,0,2015,27,312,8.6,A,2014,28,277,10.1,A
1531,FL,Florida,Deland,STETSON UNIVERSITY                                               ,421 NORTH WOODLAND BOULEVARD                      ,32723,3761,8,2,2016,26,971,2.6,P,5,7,4,0,2015,40,993,4,P,2014,43,1003,4.2,P
7893,FL,Florida,Saint Augustine,FLAGLER COLLEGE                                                  ,74 KING STREET                                    ,32085,4342,8,2,2016,18,901,1.9,A,5,7,4,0,2015,37,928,3.9,A,2014,67,971,6.9,A
1526,FL,Florida,Saint Leo,SAINT LEO UNIVERSITY                                             ,33701 STATE ROAD 52                               ,33574,6665,8,2,2016,434,5943,7.3,A,5,5,4,0,2015,475,5955,7.9,A,2014,479,5588,8.5,A
1487,FL,Florida,Saint Petersburg,ECKERD COLLEGE                                                   ,4200 54TH AVENUE SOUTH                            ,33711,4744,6,2,2016,16,482,3.3,A,5,10,4,0,2015,27,540,5,A,2014,31,522,5.9,A
10161,FL,Florida,Saint Petersburg,LORAINES ACADEMY & SPA                                           ,1012 58TH STREET NORTH                            ,33710,6391,3,3,2016,2,119,1.6,A,5,10,4,0,2015,2,131,1.5,A,2014,4,115,3.4,A
22796,FL,Florida,St.Petersburg,CORTIVA INSTITUTE                                                ,2370 34TH STREET NORTH                            ,33713,3614,2,3,2016,57,342,16.6,A,5,10,4,0,2015,41,215,19,A,2014,26,158,16.4,A
1578,GA,Georgia,Lagrange,LAGRANGE COLLEGE                                                 ,601 BROAD STREET                                  ,30240,2999,8,2,2016,36,359,10,A,5,8,4,0,2015,41,397,10.3,A,2014,31,370,8.3,A
1623,ID,Idaho,Coeur D'Alene,NORTH IDAHO COLLEGE                                              ,1000 WEST GARDEN AVENUE                           ,83814,2199,5,1,2016,242,1421,17,A,5,1,10,0,2015,277,1664,16.6,A,2014,433,1910,22.6,A
1737,IL,Illinois,Dekalb,NORTHERN ILLINOIS UNIVERSITY                                     ,ALTGELD HALL - ROOM 300A                          ,60115,2854,8,1,2016,399,5055,7.8,P,5,14,5,0,2015,439,5669,7.7,P,2014,466,5802,8,P
1835,IN,Indiana,Saint Mary Of The Wo,SAINT MARY OF THE WOODS COLLEGE                                  ,1 SAINT MARY OF THE WOODS COLLEGE                 ,47876,67,8,2,2016,18,345,5.2,A,5,8,5,0,2015,19,363,5.2,A,2014,21,360,5.8,A
7276,IN,Indiana,St Meinrad,SAINT MEINRAD SCHOOL OF THEOLOGY                                 ,200 HILL DRIVE                                    ,47577,1002,8,2,2016,0,20,0,B,5,9,5,1,2015,0,23,0,B,2014,1,20,5,B
22890,IA,Iowa,Mt. Pleasant,AMERICAN HAIR ACADEMY                                            ,304 SOUTH IRIS STREET                             ,52641,1856,4,3,2016,2,52,3.8,B,5,2,7,1,2015,4,66,6,B,2014,5,76,6.5,B
1908,KS,Kansas,Mcpherson,CENTRAL CHRISTIAN COLLEGE OF KANSAS                              ,1200 SOUTH MAIN STREET                            ,67460,5799,6,2,2016,144,527,27.3,A,5,1,7,0,2015,104,375,27.7,A,2014,63,287,21.9,A
1933,KS,Kansas,Mcpherson,MCPHERSON COLLEGE                                                ,1600 EAST EUCLID STREET                           ,67460,3899,8,2,2016,27,204,13.2,A,5,1,7,0,2015,31,276,11.2,A,2014,29,251,11.5,A
10014,MD,Maryland,Mchenry,GARRETT COLLEGE                                                  ,687 MOSSER ROAD                                   ,21541,1265,5,1,2016,31,191,16.2,A,5,6,3,0,2015,55,223,24.6,A,2014,57,246,23.1,A
2128,MA,Massachusetts,Chestnut Hill,BOSTON COLLEGE                                                   ,140 COMMONWEALTH AVENUE                           ,2467,3800,8,2,2016,31,2003,1.5,P,5,4,1,0,2015,27,2229,1.2,P,2014,21,2291,0.9,P
2201,MA,Massachusetts,Chestnut Hill,PINE MANOR COLLEGE                                               ,400 HEATH STREET                                  ,2467,2332,8,2,2016,29,123,23.5,A,5,4,1,0,2015,18,108,16.6,A,2014,23,128,17.9,A
2157,MA,Massachusetts,Newton Centre,HEBREW COLLEGE                                                   ,160 HERRICK ROAD                                  ,2459,2237,8,2,2016,2,59,3.3,B,5,4,1,1,2015,1,30,3.3,A,2014,1,42,2.3,B
2168,MA,Massachusetts,West Barnstable,CAPE COD COMMUNITY COLLEGE                                       ,2240 IYANNOUGH ROAD                               ,2668,1599,5,1,2016,45,299,15,A,5,10,1,0,2015,47,317,14.8,A,2014,57,391,14.5,A
2243,MI,Michigan,Mt Pleasant,CENTRAL MICHIGAN UNIVERSITY                                      ,106 WARRINER HALL                                 ,48859,1,8,1,2016,313,6380,4.9,A,5,2,5,0,2015,340,6546,5.1,A,2014,330,6734,4.9,A
41211,MI,Michigan,Royal Oaks,ELEVATE SALON INSTITUTE                                          ,4050 CROOKS ROAD                                  ,48067,3591,3,3,2016,20,103,19.4,A,5,12,5,0,2015,14,115,12.1,A,2014,17,162,10.4,A
2293,MI,Michigan,Sault Ste Marie,LAKE SUPERIOR STATE UNIVERSITY                                   ,650 WEST EASTERDAY AVENUE                         ,49783,1691,8,1,2016,34,652,5.2,A,5,1,5,0,2015,42,685,6.1,A,2014,47,684,6.8,A
30752,MI,Michigan,St Joseph,TWIN CITY BEAUTY COLLEGE                                         ,2600 LINCOLN AVENUE                               ,49085,3305,3,3,2016,12,119,10,A,5,6,5,0,2015,9,146,6.1,A,2014,8,150,5.3,A
2251,MI,Michigan,University Center,DELTA COLLEGE                                                    ,1961 DELTA ROAD                                   ,48710,1,5,1,2016,239,1502,15.9,A,5,5,5,0,2015,321,1861,17.2,A,2014,385,1905,20.2,A
2314,MI,Michigan,University Center,SAGINAW VALLEY STATE UNIVERSITY                                  ,7400 BAY ROAD                                     ,48710,1,8,1,2016,215,2651,8.1,A,5,5,5,0,2015,228,2804,8.1,A,2014,206,2746,7.5,A
2377,MN,Minnesota,Saint Cloud,ST. CLOUD STATE UNIVERSITY                                       ,720 FOURTH AVENUE SOUTH                           ,56301,4498,8,1,2016,164,3504,4.6,A,5,6,5,0,2015,204,3846,5.3,A,2014,181,3844,4.7,A
8694,MN,Minnesota,Saint Cloud,RASMUSSEN COLLEGE                                                ,226 PARK AVENUE SOUTH                             ,56301,3713,8,3,2016,782,10677,7.3,P,5,6,5,0,2015,804,11188,7.1,P,2014,946,11604,8.1,P
9831,MN,Minnesota,Saint Cloud,MODEL COLLEGE OF HAIR DESIGN                                     ,"201 8TH AVENUE, SOUTH                             ",56301,4280,3,3,2016,12,79,15.1,A,5,6,5,0,2015,11,84,13,A,2014,15,90,16.6,A
2342,MN,Minnesota,Saint Paul,ST. CATHERINE UNIVERSITY                                         ,2004 RANDOLPH AVENUE                              ,55105,1789,8,2,2016,48,1378,3.4,A,5,4,5,0,2015,46,1456,3.1,A,2014,72,1559,4.6,A
2347,MN,Minnesota,Saint Paul,CONCORDIA UNIVERSITY - SAINT PAUL                                ,1282 CONCORDIA AVENUE                             ,55104,5494,8,2,2016,85,1440,5.9,A,5,4,5,0,2015,68,1292,5.2,A,2014,52,1128,4.6,A
2354,MN,Minnesota,Saint Paul,HAMLINE UNIVERSITY                                               ,1536 HEWITT AVENUE                                ,55104,1284,8,2,2016,44,1277,3.4,P,5,4,5,0,2015,53,1389,3.8,P,2014,47,1375,3.4,P
2358,MN,Minnesota,Saint Paul,MACALESTER COLLEGE                                               ,1600 GRAND AVENUE                                 ,55105,1899,6,2,2016,3,349,0.8,A,5,4,5,0,2015,4,381,1,A,2014,3,373,0.8,A
2371,MN,Minnesota,Saint Paul,UNIVERSITY OF NORTHWESTERN- ST PAUL                              ,3003 SNELLING AVENUE NORTH                        ,55113,1598,8,2,2016,19,719,2.6,A,5,4,5,0,2015,13,702,1.8,A,2014,25,765,3.2,A
9058,MN,Minnesota,Saint Paul,BETHEL UNIVERSITY                                                ,3900 BETHEL DRIVE                                 ,55112,6999,8,2,2016,34,1386,2.4,P,5,4,5,0,2015,36,1402,2.5,P,2014,30,1509,1.9,P
10374,MN,Minnesota,Saint Paul,METROPOLITAN STATE UNIVERSITY                                    ,700 EAST 7TH STREET                               ,55106,5000,8,1,2016,162,2661,6,A,5,4,5,0,2015,159,2673,5.9,A,2014,149,2716,5.4,A
2353,MN,Minnesota,Saint Peter,GUSTAVUS ADOLPHUS COLLEGE                                        ,800 WEST COLLEGE AVENUE                           ,56082,1498,6,2,2016,9,609,1.4,A,5,1,5,0,2015,6,540,1.1,A,2014,7,571,1.2,A
2383,MN,Minnesota,St Bonifacius,CROWN COLLEGE                                                    ,8700 COLLEGE VIEW DRIVE                           ,55375,9001,8,2,2016,29,394,7.3,A,5,3,5,0,2015,46,491,9.3,A,2014,44,440,10,A
5534,MN,Minnesota,St Cloud,ST. CLOUD TECHNICAL AND COMMUNITY COLLEGE                        ,1540 NORTHWAY DRIVE                               ,56303,1240,5,1,2016,173,1590,10.8,A,5,6,5,0,2015,209,1698,12.3,A,2014,260,1845,14,A
2341,MN,Minnesota,St Joseph,COLLEGE OF SAINT BENEDICT                                        ,37 SOUTH COLLEGE AVENUE                           ,56374,2099,6,2,2016,5,464,1,A,5,7,5,0,2015,6,449,1.3,A,2014,2,453,0.4,A
2345,MN,Minnesota,St Paul,UNIVERSITY OF SAINT THOMAS                                       ,2115 SUMMIT AVENUE                                ,55105,1096,8,2,2016,25,2119,1.1,P,5,4,5,0,2015,45,2276,1.9,P,2014,39,2177,1.7,P
2357,MN,Minnesota,St Paul,LUTHER SEMINARY                                                  ,2481 COMO AVENUE                                  ,55108,1496,8,2,2016,1,83,1.2,A,5,4,5,0,2015,1,127,0.7,A,2014,3,95,3.1,A
2391,MN,Minnesota,St Paul,MITCHELL HAMLINE SCHOOL OF LAW                                   ,875 SUMMIT AVENUE                                 ,55105,3076,7,2,2016,12,250,4.8,A,5,4,5,0,2015,4,296,1.3,A,2014,8,306,2.6,A
5533,MN,Minnesota,St Paul,SAINT PAUL COLLEGE - A COMMUNITY & TECHNICAL COLLEGE             ,235 MARSHALL AVENUE                               ,55102,1800,5,1,2016,433,2152,20.1,A,5,4,5,0,2015,520,2486,20.9,A,2014,671,2720,24.6,A
2396,MS,Mississippi,Alcorn State,ALCORN STATE UNIVERSITY                                          ,1000 ASU DRIVE                                    ,39096,7500,8,1,2016,282,1312,21.4,A,2,2,4,0,2015,291,1485,19.5,A,2014,261,1599,16.3,A
