OPEID,state,city,Name,Address,City2,State3,State Desc,Zip Code,Zip Ext,"Prog
22666,England,London,ST GEORGE'S HOSPITAL MEDICAL SCHOOL                              ,CRANMER TERRACE                    TOOTING        ,LONDON              ,FC,ENGLAND             ,SW17 , 0RE,8,5,2016,0,3,0,B,5,        ,11,1,2015,,,,,2014,0,4,0,B
30450,England,London,UNIVERSITY OF EAST LONDON                                        ,4 - 6 UNIVERSITY WAY                              ,LONDON              ,FC,ENGLAND             ,E16 2,RD  ,8,5,2016,1,58,1.7,B,5,        ,11,1,2015,2,52,3.8,B,2014,2,47,4.2,B
33523,England,London,LONDON SOUTH BANK UNIVERSITY                                     ,103 BOROUGH ROAD                                  ,LONDON              ,FC,ENGLAND             ,SE1 0,AA  ,8,5,2016,0,21,0,B,5,        ,11,1,2015,0,20,0,B,2014,0,22,0,B
34733,England,London,UNIVERSITY OF THE ARTS LONDON                                    ,272 HIGH HOLBORN                                  ,LONDON              ,FC,ENGLAND             ,WC1V ,7EY ,8,5,2016,7,150,4.6,P,5,        ,11,0,2015,13,169,7.6,P,2014,8,201,3.9,P
36193,England,London,UNIVERSITY OF GREENWICH                                          ,PARK ROW                           GREENWICH      ,LONDON              ,FC,ENGLAND             ,SE10 ,9LS ,8,5,2016,3,40,7.5,B,5,        ,11,1,2015,5,47,10.6,B,2014,5,39,12.8,B
38243,England,London,"ROYAL VETERINARY COLLEGE (THE), UNIVERSITY OF LONDON             ",ROYAL COLLEGE STREET                              ,LONDON              ,FC,ENGLAND             ,NW1 0,TU  ,8,5,2016,1,43,2.3,A,5,        ,11,0,2015,1,38,2.6,A,2014,0,56,0,B
8458,England,Loughborough,LOUGHBOROUGH UNIVERSITY                                          ,ASHBY ROAD                                        ,LOUGHBOROUGH        ,FC,ENGLAND             ,LE11 , 3TU,8,5,2016,0,19,0,B,5,        ,11,1,2015,0,14,0,B,2014,0,8,0,B
12136,England,Manchester,UNIVERSITY OF MANCHESTER (THE)                                   ,OXFORD ROAD                                       ,MANCHESTER          ,FC,ENGLAND             ,M13  , 9PL,8,5,2016,1,57,1.7,P,5,        ,11,0,2015,3,49,6.1,P,2014,0,71,0,P
23205,England,Manchester,ROYAL NORTHERN COLLEGE OF MUSIC                                  ,124 OXFORD ROAD                                   ,MANCHESTER          ,FC,ENGLAND             ,M13 9,RD  ,8,5,2016,0,12,0,B,5,        ,11,1,2015,0,13,0,B,2014,0,11,0,B
30333,England,Manchester,MANCHESTER METROPOLITAN UNIVERSITY                               ,ALL SAINTS BUIDING                 OXFORD ROAD    ,MANCHESTER          ,FC,ENGLAND             ,M15 6,BH  ,8,5,2016,4,32,12.5,B,5,        ,11,1,2015,4,41,9.7,B,2014,4,31,12.9,B
37703,England,Manchester,NAZARENE THEOLOGICAL COLLEGE                                     ,"DENE ROAD, DIDSBURY                               ",MANCHESTER          ,FC,ENGLAND             ,M2O 2,GU  ,8,6,2016,0,6,0,B,5,        ,11,1,2015,1,10,10,B,2014,1,10,10,B
11780,England,Middlesex,BRUNEL UNIVERSITY LONDON                                         ,UXBRIDGE                                          ,MIDDLESEX           ,FC,ENGLAND             ,UB8  , 3PH,8,5,2016,4,37,10.8,B,5,        ,11,1,2015,3,35,8.5,B,2014,3,27,11.1,B
8460,England,Newcastle Upon Tyne,UNIVERSITY OF NEWCASTLE UPON TYNE                                ,KING'S GATE                                       ,NEWCASTLE UPON TYNE ,FC,ENGLAND             ,NE1  , 7RU,8,5,2016,2,41,4.8,A,5,        ,11,0,2015,0,38,0,A,2014,1,53,1.8,A
30295,England,Newcastle Upon Tyne,UNIVERSITY OF NORTHUMBRIA AT NEWCASTLE                           ,ELLISON BUILDING                                  ,NEWCASTLE UPON TYNE ,FC,ENGLAND             ,NE1 8,ST  ,8,5,2016,1,30,3.3,B,5,        ,11,1,2015,2,30,6.6,B,2014,3,31,9.6,B
10915,England,Norwich,UNIVERSITY OF EAST ANGLIA                                        ,NORWICH RESEARCH PARK                             ,NORWICH             ,FC,ENGLAND             ,NR4 7,TJ  ,8,5,2016,1,32,3.1,A,5,        ,11,0,2015,0,76,0,B,2014,1,81,1.2,B
8920,England,Nottingham,UNIVERSITY OF NOTTINGHAM                                         ,UNIVERSITY PARK                                   ,NOTTINGHAM          ,FC,ENGLAND             ,NG7 2,RD  ,8,5,2016,3,31,9.6,A,5,        ,11,0,2015,1,90,1.1,B,2014,1,34,2.9,A
30925,England,Nottingham,NOTTINGHAM TRENT UNIVERSITY                                      ,50 SHAKESPEARE STREET                             ,NOTTINGHAM          ,FC,ENGLAND             ,NG1 4,FQ  ,8,5,2016,1,18,5.5,B,5,        ,11,1,2015,0,20,0,B,2014,0,16,0,B
8394,England,Oxford,UNIVERSITY OF OXFORD                                             ,UNIVERSITY OFFICES                 WELLINGTON SQUA,OXFORD              ,FC,ENGLAND             ,OX1  , 2JD,8,5,2016,1,85,1.1,B,5,        ,11,1,2015,0,36,0,A,2014,3,111,2.7,B
9634,England,Oxford,UNIVERSITY OF OXFORD - ST CATHERINE'S COLLEGE                    ,MANOR ROAD                                        ,OXFORD              ,FC,ENGLAND             ,OX1  , 3UJ,8,5,2016,0,13,0,B,5,        ,11,1,2015,0,14,0,B,2014,0,17,0,B
10087,England,Oxford,UNIVERSITY OF OXFORD - ST PETER'S COLLEGE                        ,NEW INN HALL STREET                               ,OXFORD              ,FC,ENGLAND             ,OX1  , 2DL,8,5,2016,0,10,0,B,5,        ,11,1,2015,0,7,0,B,2014,0,8,0,B
10789,England,Oxford,UNIVERSITY OF OXFORD - WORCESTER COLLEGE                         ,WALTON STREET                                     ,OXFORD              ,FC,ENGLAND             ,OX1  , 2HB,8,5,2016,0,9,0,B,5,        ,11,1,2015,0,7,0,B,2014,0,9,0,B
10866,England,Oxford,UNIVERSITY OF OXFORD - MAGDALEN COLLEGE                          ,HIGH STREET                                       ,OXFORD              ,FC,ENGLAND             ,OX1  , 4AU,8,5,2016,0,5,0,B,5,        ,11,1,2015,0,7,0,B,2014,0,5,0,B
10867,England,Oxford,UNIVERSITY OF OXFORD - ST JOHN'S COLLEGE                         ,ST. GILES                                         ,OXFORD              ,FC,ENGLAND             ,OX1  , 3JP,8,5,2016,0,3,0,P,5,        ,11,0,2015,0,2,0,P,2014,0,4,0,P
10942,England,Oxford,UNIVERSITY OF OXFORD - ST HUGH'S COLLEGE                         ,ST MARGARET'S ROAD                                ,OXFORD              ,FC,ENGLAND             ,OX2  , 6LE,8,5,2016,1,26,3.8,B,5,        ,11,1,2015,2,33,6,B,2014,2,27,7.4,B
10980,England,Oxford,UNIVERSITY OF OXFORD - SOMERVILLE COLLEGE                        ,WOODSTOCK ROAD                                    ,OXFORD              ,FC,ENGLAND             ,OX2  , 6HD,8,5,2016,0,9,0,B,5,        ,11,1,2015,0,8,0,B,2014,0,6,0,B
10999,England,Oxford,UNIVERSITY OF OXFORD - WADHAM COLLEGE                            ,PARKS ROAD                                        ,OXFORD              ,FC,ENGLAND             ,OX1  , 3PN,8,5,2016,0,5,0,B,5,        ,11,1,2015,0,5,0,B,2014,0,8,0,B
11053,England,Oxford,UNIVERSITY OF OXFORD - ST HILDA'S COLLEGE                        ,COWLEY PLACE                                      ,OXFORD              ,FC,ENGLAND             ,OX4  , 1DY,8,5,2016,0,13,0,B,5,        ,11,1,2015,0,18,0,B,2014,0,18,0,B
11054,England,Oxford,UNIVERSITY OF OXFORD - ST ANNE'S COLLEGE                         ,WOODSTOCK ROAD                                    ,OXFORD              ,FC,ENGLAND             ,OX2  , 6HS,8,5,2016,0,16,0,B,5,        ,11,1,2015,0,10,0,B,2014,0,12,0,B
11055,England,Oxford,UNIVERSITY OF OXFORD - LADY MARGARET HALL                        ,NORHAM GARDENS                                    ,OXFORD              ,FC,ENGLAND             ,OX2  , 6QA,8,5,2016,0,8,0,B,5,        ,11,1,2015,0,10,0,B,2014,0,11,0,B
11056,England,Oxford,UNIVERSITY OF OXFORD - UNIVERSITY COLLEGE                        ,HIGH STREET                                       ,OXFORD              ,FC,ENGLAND             ,OX1  , 4BH,8,5,2016,0,6,0,B,5,        ,11,1,2015,0,7,0,B,2014,0,11,0,B
11057,England,Oxford,UNIVERSITY OF OXFORD - TRINITY COLLEGE                           ,BROAD STREET                                      ,OXFORD              ,FC,ENGLAND             ,OX1  , 3BH,8,5,2016,0,11,0,P,5,        ,11,0,2015,0,9,0,P,2014,0,7,0,P
11058,England,Oxford,UNIVERSITY OF OXFORD - ST EDMUND HALL                            ,ST EDMUND HALL                     QUEEN'S LANE   ,OXFORD              ,FC,ENGLAND             ,OX1  , 4AR,8,5,2016,1,25,4,B,5,        ,11,1,2015,1,29,3.4,B,2014,0,25,0,B
11059,England,Oxford,UNIVERSITY OF OXFORD - ST ANTONY'S COLLEGE                       ,62 WOODSTOCK ROAD                                 ,OXFORD              ,FC,ENGLAND             ,OX2  , 6JF,8,5,2016,1,50,2,B,5,        ,11,1,2015,2,61,3.2,B,2014,2,57,3.5,B
11060,England,Oxford,UNIVERSITY OF OXFORD - QUEEN'S COLLEGE                           ,HIGH STREET                                       ,OXFORD              ,FC,ENGLAND             ,OX1  , 4AW,8,5,2016,0,8,0,B,5,        ,11,1,2015,,,,,2014,0,10,0,B
11061,England,Oxford,UNIVERSITY OF OXFORD - PEMBROKE COLLEGE                          ,ST. ALDATES                                       ,OXFORD              ,FC,ENGLAND             ,OX1  , 1DW,8,5,2016,1,16,6.2,B,5,        ,11,1,2015,1,14,7.1,B,2014,0,7,0,B
11062,England,Oxford,UNIVERSITY OF OXFORD - ORIEL COLLEGE                             ,ORIEL SQUARE                                      ,OXFORD              ,FC,ENGLAND             ,OX1  , 4EW,8,5,2016,0,19,0,B,5,        ,11,1,2015,0,17,0,B,2014,0,16,0,B
11064,England,Oxford,UNIVERSITY OF OXFORD - NEW COLLEGE                               ,HOLYWELL STREET                                   ,OXFORD              ,FC,ENGLAND             ,OX1  , 3BN,8,5,2016,0,9,0,B,5,        ,11,1,2015,0,9,0,B,2014,0,9,0,B
11065,England,Oxford,UNIVERSITY OF OXFORD - MERTON COLLEGE                            ,MERTON STREET                                     ,OXFORD              ,FC,ENGLAND             ,OX1  , 4JD,8,5,2016,0,11,0,B,5,        ,11,1,2015,0,5,0,B,2014,0,5,0,B
11066,England,Oxford,UNIVERSITY OF OXFORD - LINCOLN COLLEGE                           ,TURL STREET                                       ,OXFORD              ,FC,ENGLAND             ,OX1  , 3DR,8,5,2016,0,19,0,B,5,        ,11,1,2015,0,19,0,B,2014,0,19,0,B
11067,England,Oxford,UNIVERSITY OF OXFORD - KEBLE COLLEGE                             ,PARKS ROAD                                        ,OXFORD              ,FC,ENGLAND             ,OX1  , 3PG,8,5,2016,0,11,0,B,5,        ,11,1,2015,0,15,0,B,2014,0,19,0,B
11068,England,Oxford,UNIVERSITY OF OXFORD - JESUS COLLEGE                             ,TURL STREET                                       ,OXFORD              ,FC,ENGLAND             ,OX1  , 3DW,8,5,2016,0,8,0,B,5,        ,11,1,2015,0,9,0,B,2014,0,11,0,B
11069,England,Oxford,UNIVERSITY OF OXFORD - HERTFORD COLLEGE                          ,CATTE STREET                                      ,OXFORD              ,FC,ENGLAND             ,OX1  , 3BW,8,5,2016,1,14,7.1,B,5,        ,11,1,2015,1,17,5.8,B,2014,1,19,5.2,B
11070,England,Oxford,UNIVERSITY OF OXFORD - EXETER COLLEGE                            ,EXETER COLLEGE                     TURL STREET    ,OXFORD              ,FC,ENGLAND             ,OX1  , 3DP,8,5,2016,0,16,0,B,5,        ,11,1,2015,0,16,0,B,2014,0,18,0,B
11071,England,Oxford,UNIVERSITY OF OXFORD - CHRIST CHURCH COLLEGE                     ,ST ALDATES                                        ,OXFORD              ,FC,ENGLAND             ,OX1  , IDP,8,5,2016,1,12,8.3,B,5,        ,11,1,2015,0,10,0,B,2014,0,9,0,B
11072,England,Oxford,UNIVERSITY OF OXFORD - BRASENOSE COLLEGE                         ,RADCLIFFE SQUARE                                  ,OXFORD              ,FC,ENGLAND             ,OX1  , 4AJ,8,5,2016,0,7,0,B,5,        ,11,1,2015,,,,,2014,0,16,0,B
11838,England,Oxford,UNIVERSITY OF OXFORD - MANSFIELD COLLEGE                         ,MANSFIELD ROAD                                    ,OXFORD              ,FC,ENGLAND             ,OX1  , 3TF,8,5,2016,0,8,0,B,5,        ,11,1,2015,0,9,0,B,2014,0,6,0,B
12275,England,Oxford,UNIVERSITY OF OXFORD - WOLFSON COLLEGE                           ,LINTON ROAD                                       ,OXFORD              ,FC,ENGLAND             ,OX2  , 6UD,8,5,2016,0,36,0,B,5,        ,11,1,2015,0,34,0,B,2014,1,42,2.3,B
12765,England,Oxford,UNIVERSITY OF OXFORD - LINACRE COLLEGE                           ,ST CROSS ROAD                                     ,OXFORD              ,FC,ENGLAND             ,OX1 3,JA  ,8,5,2016,0,27,0,B,5,        ,11,1,2015,0,30,0,B,2014,0,26,0,B
21835,England,Oxford,UNIVERSITY OF OXFORD - WYCLIFFE HALL                             ,54 BANBURY ROAD                                   ,OXFORD              ,FC,ENGLAND             ,OX2  , 6PW,8,5,2016,0,7,0,B,5,        ,11,1,2015,0,5,0,B,2014,0,4,0,B
22719,England,Oxford,UNIVERSITY OF OXFORD - BLACKFRIARS                               ,64 ST. GILES                                      ,OXFORD              ,FC,ENGLAND             ,OX1  , 3LY,8,5,2016,1,8,12.5,B,5,        ,11,1,2015,1,5,20,B,2014,1,5,20,B
34923,England,Oxford,UNIVERSITY OF OXFORD - GREEN TEMPLETON COLLEGE                   ,WOODSTOCK ROAD                                    ,OXFORD              ,FC,ENGLAND             ,OX2 6,HG  ,8,5,2016,0,39,0,B,5,        ,11,1,2015,1,39,2.5,B,2014,2,43,4.6,B
34946,England,Oxford,UNIVERSITY OF OXFORD - HARRIS MANCHESTER COLLEGE                 ,MANSFIELD ROAD                                    ,OXFORD              ,FC,ENGLAND             ,OX1 3,TD  ,8,5,2016,0,7,0,B,5,        ,11,1,2015,0,6,0,B,2014,0,4,0,B
23521,England,Plymouth,UNIVERSITY OF PLYMOUTH                                           ,DRAKE CIRCUS                                      ,PLYMOUTH            ,FC,ENGLAND             ,PL4 8,AA  ,8,5,2016,0,9,0,B,5,        ,11,1,2015,0,5,0,B,2014,0,2,0,B
33503,England,Poole,BOURNEMOUTH UNIVERSITY                                           ,TALBOT CAMPUS                      FERN BARROW    ,POOLE               ,FC,ENGLAND             ,BH12 ,5BB ,8,5,2016,1,36,2.7,B,5,        ,11,1,2015,2,30,6.6,B,2014,3,33,9,B
35894,England,Poole,ARTS UNIVERSITY BOURNEMOUTH                                      ,WALLISDOWN                                        ,POOLE               ,FC,ENGLAND             ,BH12 ,5HH ,8,5,2016,2,16,12.5,B,5,        ,11,1,2015,1,11,9,B,2014,0,11,0,B
21159,England,Portsmouth,UNIVERSITY OF PORTSMOUTH                                         ,WINSTON CHURCHILL AVENUE                          ,PORTSMOUTH          ,FC,ENGLAND             ,PO1 2,UP  ,8,5,2016,2,22,9,B,5,        ,11,1,2015,2,20,10,B,2014,1,19,5.2,B
10143,England,Reading,UNIVERSITY OF READING                                            ,WHITEKNIGHTS                                      ,READING             ,FC,ENGLAND             ,RG6 6,AH  ,8,5,2016,2,54,3.7,B,5,        ,11,1,2015,3,49,6.1,B,2014,2,47,4.2,B
10594,England,Richmond Upon Thames,"RICHMOND, THE AMERICAN INTERNATIONAL UNIVERSITY IN LONDON        ",QUEENS ROAD                                       ,RICHMOND UPON THAMES,FC,ENGLAND             ,TW10 , 6JP,8,6,2016,4,87,4.5,A,5,        ,11,0,2015,5,86,5.8,A,2014,4,71,5.6,A
9006,England,Salford,UNIVERSITY OF SALFORD (THE)                                      ,PEEL PARK CAMPUS                   THE CRESCENT   ,SALFORD             ,FC,ENGLAND             ,M5 4W,T   ,8,5,2016,0,18,0,B,5,        ,11,1,2015,0,21,0,B,2014,0,17,0,B
8398,England,Sheffield,UNIVERSITY OF SHEFFIELD (THE)                                    ,WESTERN BANK                                      ,SHEFFIELD           ,FC,ENGLAND             ,SI0 2,TN  ,8,5,2016,3,100,3,B,5,        ,11,1,2015,1,33,3,A,2014,2,38,5.2,A
8399,England,Southampton,UNIVERSITY OF SOUTHAMPTON                                        ,HIGHFIELD                                         ,SOUTHAMPTON         ,FC,ENGLAND             ,S017 ,1BJ ,8,5,2016,4,64,6.2,B,5,        ,11,1,2015,3,67,4.4,B,2014,3,58,5.1,B
25616,England,Southampton,SOLENT UNIVERSITY                                                ,EAST PARK TERRACE                                 ,SOUTHAMPTON         ,FC,ENGLAND             ,SO14 ,0YN ,8,5,2016,2,11,18.1,B,5,        ,11,1,2015,1,10,10,B,2014,1,7,14.2,B
35073,England,Sunderland,UNIVERSITY OF SUNDERLAND                                         ,EDINBURGH BUILDING                 CHESTER ROAD   ,SUNDERLAND          ,FC,ENGLAND             ,SR1 3,SD  ,8,5,2016,1,6,16.6,B,5,        ,11,1,2015,1,3,33.3,B,2014,2,6,33.3,B
41437,England,Twickenham London,ST MARY'S UNIVERSITY TWICKENHAM                                  ,WALDEGRAVE ROAD                    STRAWBERRY HILL,TWICKENHAM LONDON   ,FC,ENGLAND             ,TW1 4,SX  ,8,5,2016,1,34,2.9,B,5,        ,11,1,2015,0,61,0,B,2014,0,109,0,B
21497,England,Winchester,UNIVERSITY OF WINCHESTER (THE)                                   ,SPARKFORD ROAD                     WEST HILL      ,WINCHESTER          ,FC,ENGLAND             ,S022 ,4NR ,8,5,2016,0,11,0,B,5,        ,11,1,2015,0,10,0,B,2014,0,10,0,B
6700,England,York,UNIVERSITY OF YORK                                               ,HESLINGTON                                        ,YORK                ,FC,ENGLAND             ,YO10 ,5DD ,8,5,2016,0,54,0,A,5,        ,11,0,2015,0,57,0,A,2014,3,51,5.8,A
40323,England,York,YORK ST JOHN UNIVERSITY                                          ,LORD MAYOR'S WALK                                 ,YORK                ,FC,ENGLAND             ,Y031 ,7EX ,8,5,2016,0,8,0,B,5,        ,11,1,2015,0,5,0,B,2014,0,6,0,B
30959,France,Cergy-Pontoise Cedex,ESSEC BUSINESS SCHOOL                                            ,"3, AVENUE BERNARD-HIRSCH - CS 50105               ",CERGY-PONTOISE CEDEX,FC,FRANCE              ,F-950,21,8,6,2016,1,15,6.6,P,5,        ,11,0,2015,1,18,5.5,P,2014,0,26,0,P
10472,France,Fontainebleau,INSEAD                                                           ,BOULEVARD DE CONSTANCE                            ,FONTAINEBLEAU       ,FC,FRANCE              ,77305,    ,8,6,2016,1,32,3.1,A,5,        ,11,0,2015,2,30,6.6,A,2014,0,33,0,A
35943,France,Grenoble,GRENOBLE ECOLE DE MANAGEMENT                                     ,12 RUE PIERRE SÃ©MARD                              ,GRENOBLE            ,FC,FRANCE              ,38000,    ,8,6,2016,1,35,2.8,B,5,        ,11,1,2015,2,38,5.2,B,2014,2,48,4.1,B
38974,France,Illkirch-Graffenstad,INTERNATIONAL SPACE UNIVERSITY                                   ,"PARC D'INNOVATION                  1, RUE JEAN-DOM",ILLKIRCH-GRAFFENSTAD,FC,FRANCE              ,67400,    ,8,6,2016,1,10,10,B,5,        ,11,1,2015,1,12,8.3,B,2014,0,14,0,B
22934,France,Jouy-En-Josas,ECOLE DES HAUTES ETUDES COMMERCIALES                             ,1 RUE DE LA LIBERATION                            ,JOUY-EN-JOSAS       ,FC,FRANCE              ,78351,    ,8,6,2016,0,23,0,B,5,        ,11,1,2015,1,23,4.3,B,2014,1,39,2.5,B
7881,France,Paris,AMERICAN UNIVERSITY OF PARIS                                     ,102 SAINT DOMINQUE                                ,PARIS               ,FC,FRANCE              ,75007,    ,8,6,2016,4,67,5.9,A,5,        ,11,0,2015,8,88,9,A,2014,4,92,4.3,A
10599,France,Paris,INSTITUT D'ETUDES POLITIQUES DE PARIS                            ,"27, RUE SAINT-GUILLAUME                           ",PARIS               ,FC,FRANCE              ,75337,    ,8,5,2016,1,88,1.1,B,5,        ,11,1,2015,0,32,0,A,2014,2,79,2.5,B
38164,France,Paris,AMERICAN GRADUATE SCHOOL IN PARIS                                ,101 BOULEVARD RASPAIL                             ,PARIS               ,FC,FRANCE              ,75006,    ,8,6,2016,2,42,4.7,B,5,        ,11,1,2015,4,46,8.6,B,2014,3,58,5.1,B
41163,France,Roubaix Cedex 1,EDHEC BUSINESS SCHOOL                                            ,24 AVENUE GUSTAVE DELORY           CS 50411       ,ROUBAIX CEDEX 1     ,FC,FRANCE              ,59057,    ,8,6,2016,0,29,0,B,5,        ,11,1,2015,0,26,0,B,2014,0,25,0,B
41765,Germany,Berlin,ESMT EUROPEAN SCHOOL OF MANAGEMENT AND TECHNOLOGY GMBH           ,SCHLOSSPLATZ 1                                    ,BERLIN              ,FC,GERMANY             ,10178,    ,8,6,2016,0,7,0,B,5,        ,11,1,2015,0,5,0,B,2014,0,4,0,B
38183,Germany,Leipzig,HHL LEIPZIG GRADUATE SCHOOL OF MANAGEMENT                        ,JAHNALLEE 59                                      ,LEIPZIG             ,FC,GERMANY             ,D-041,9,8,6,2016,0,3,0,B,5,        ,11,1,2015,0,4,0,B,2014,0,9,0,B
22333,Grenada,St George'S Universi,"ST.  GEORGE'S UNIVERSITY, SCHOOL OF MEDICINE                     ",UNIVERSITY CENTRE                                 ,ST GEORGE'S UNIVERSI,FC,GRENADA             ,     ,    ,7,7,2016,7,761,0.9,A,5,        ,11,0,2015,9,882,1,A,2014,9,876,1,A
39743,Grenada,St.George'S,"ST. GEORGE'S UNIVERSITY, SCHOOL OF VETERINARY MEDICINE           ",UNIVERSITY CENTRE                                 ,ST.GEORGE'S         ,FC,GRENADA             ,     ,    ,7,7,2016,1,127,0.7,A,5,        ,11,0,2015,0,115,0,A,2014,0,81,0,A
3935,Guam,Mangilao,UNIVERSITY OF GUAM                                               ,UOG STATION                                       ,MANGILAO            ,GU,GUAM                                                        ,96923,0,8,1,2016,80,608,13.1,A,5,AL      ,9,0,2015,50,523,9.5,A,2014,58,501,11.5,A
40215,Hungary,Budapest,CENTRAL EUROPEAN UNIVERSITY                                      ,NADOR U. 9                                        ,BUDAPEST            ,FC,HUNGARY             ,H-105,1,8,6,2016,2,37,5.4,A,5,        ,11,0,2015,0,30,0,A,2014,4,94,4.2,B
30843,Ireland,Castletroy,UNIVERSITY OF LIMERICK                                           ,PLASSEY PARK ROAD                                 ,CASTLETROY          ,FC,IRELAND             ,V94 T,9PX ,8,5,2016,0,52,0,B,5,        ,11,1,2015,0,54,0,B,2014,1,48,2,B
6704,Ireland,Cork,UNIVERSITY COLLEGE CORK                                          ,WESTERN ROAD                                      ,CORK                ,FC,IRELAND             ,CORK ,    ,8,5,2016,2,64,3.1,B,5,        ,11,1,2015,0,60,0,B,2014,0,54,0,B
7705,Ireland,Dublin,ROYAL COLLEGE OF SURGEONS IN IRELAND                             ,123 ST STEPHEN'S GREEN                            ,DUBLIN              ,FC,IRELAND             ,2,    ,8,6,2016,1,41,2.4,B,5,        ,11,1,2015,0,49,0,B,2014,0,42,0,B
6842,Ireland,Dublin 2,UNIVERSITY OF DUBLIN TRINITY COLLEGE                             ,COLLEGE GREEN                                     ,DUBLIN 2            ,FC,IRELAND             ,     ,    ,8,5,2016,2,97,2,A,5,        ,11,0,2015,2,87,2.2,A,2014,1,67,1.4,A
40214,Ireland,Dublin 2,"AMERICAN COLLEGE, DUBLIN LIMITED (THE)                           ",1 MERRION SQUARE                                  ,DUBLIN 2            ,FC,IRELAND             ,     ,    ,8,6,2016,2,37,5.4,B,5,        ,11,1,2015,1,23,4.3,B,2014,2,12,16.6,B
10188,Ireland,Dublin 4,"UNIVERSITY COLLEGE DUBLIN, NATIONAL UNIVERSITY OF IRELAND, DUBLIN","UCD LEGAL OFFICE                   ROEBUCK CASTLE,",DUBLIN 4            ,FC,IRELAND             ,     ,    ,8,5,2016,4,99,4,A,5,        ,11,0,2015,1,91,1,A,2014,2,80,2.5,A
26117,Ireland,Dublin 9,DUBLIN CITY UNIVERSITY                                           ,"GLASNEVIN CAMPUS                   COLLINS AVENUE,",DUBLIN 9            ,FC,IRELAND             ,D9   ,    ,8,5,2016,0,24,0,B,5,        ,11,1,2015,0,22,0,B,2014,0,20,0,B
