OPEID,state abv,state,city_x,Name,Address,Zip Code,Zip Ext,"Prog
Length","School
Type",Year 1,"
Num 1","
Denom 1",DRate 1,PRate 1,Ethnic Code,Cong Dis,Region,"Average or
Greater than 30",Year 2,"
Num 2","
Denom 2",DRate 2,PRate 2,Year 3,"
Num 3","
Denom 3",DRate 3,PRate 3,zip,lat,lng,city_y,state_id,state_name,zcta,parent_zcta,population,density,county_fips,county_name,county_weights,county_names_all,county_fips_all,imprecise,military,timezone,age_median,male,female,married,family_size,income_household_median,income_household_six_figure,home_ownership,home_value,rent_median,education_college_or_above,labor_force_participation,unemployment_rate,race_white,race_black,race_asian,race_native,race_pacific,race_other,race_multiple
1050,AL,Alabama,Tuskegee,TUSKEGEE UNIVERSITY                                              ,308 KRESGE CENTER                                 ,36088,1645,8,2,2016,115,850,13.5,P,2,3,4,0,2015,101.0,876.0,11.5,P,2014,93,806,11.5,P,36088,32.41685,-85.71784,Tuskegee Institute,AL,Alabama,True,,4802.0,549.6,1087.0,Macon,{'01087':100},Macon,01087,False,False,America/Chicago,21.7,41.7,58.3,12.2,3.05,27743.0,9.3,42.3,80791.0,645.0,26.0,50.7,16.7,1.2,97.4,1.0,0.2,0.0,0.0,0.1
42200,AR,Arkansas,Fort Smith,DESIGNER BARBER & STYLIST SCHOOL                                 ,2409 SOUTH 56TH STREET             SUITE 118      ,72903,3753,3,3,2016,6,30,20.0,A,5,3,6,0,2015,6.0,38.0,15.7,B,2014,1,10,10.0,B,72903,35.35138,-94.36031,Fort Smith,AR,Arkansas,True,,26143.0,602.5,5131.0,Sebastian,{'05131':100},Sebastian,05131,False,False,America/Chicago,38.8,47.3,52.7,47.4,2.91,44690.0,19.9,48.3,164722.0,658.0,27.2,60.2,3.6,78.5,5.9,5.8,1.4,0.1,3.5,4.7
1104,AR,Arkansas,Helena-West Helena,PHILLIPS COMMUNITY COLLEGE OF THE UNIVERSITY OF ARKANSAS         ,1000 CAMPUS DRIVE                                 ,72342,0,5,1,2016,20,114,17.5,B,5,1,6,1,2015,4.0,35.0,11.4,A,2014,13,59,22.0,A,72342,34.458059999999996,-90.68596,Helena,AR,Arkansas,True,,4966.0,23.9,5107.0,Phillips,{'05107':100},Phillips,05107,False,False,America/Chicago,35.6,48.5,51.5,30.9,3.38,25985.0,16.2,39.2,99156.0,568.0,20.8,51.6,14.5,32.4,65.5,0.2,0.0,0.0,0.5,1.4
39745,CA,California,Canoga Park,CALIFORNIA CAREER COLLEGE                                        ,7003 OWENSMOUTH AVENUE                            ,91303,2006,5,3,2016,2,40,5.0,A,5,27,9,0,2015,7.0,71.0,9.8,A,2014,2,40,5.0,A,91303,34.19794,-118.60156,Canoga Park,CA,California,True,,31053.0,4792.8,6037.0,Los Angeles,{'06037':100},Los Angeles,06037,False,False,America/Los_Angeles,32.1,51.4,48.6,40.0,3.78,55130.0,24.2,24.1,432049.0,1446.0,24.1,71.7,5.4,52.3,3.4,11.2,0.5,0.3,30.2,2.2
7130,CA,California,Granada Hills,NEWBERRY SCHOOL OF BEAUTY                                        ,16852 DEVONSHIRE STREET                           ,91344,7404,3,3,2016,5,88,5.6,P,5,27,9,0,2015,1.0,81.0,1.2,P,2014,6,92,6.5,P,91344,34.29392,-118.5075,Granada Hills,CA,California,True,,53266.0,1217.5,6037.0,Los Angeles,{'06037':100},Los Angeles,06037,False,False,America/Los_Angeles,43.3,50.0,50.0,51.3,3.52,92286.0,45.9,75.1,593579.0,1754.0,39.0,64.0,6.4,59.7,4.6,16.7,0.7,0.2,13.5,4.7
20912,CA,California,Hollywood,ELEGANCE INTERNATIONAL                                           ,6767 SUNSET BOULEVARD                             ,90028,6106,3,3,2016,52,318,16.3,A,5,33,9,0,2015,12.0,181.0,6.6,A,2014,8,72,11.1,A,90028,34.09989,-118.32692,Los Angeles,CA,California,True,,30734.0,7273.3,6037.0,Los Angeles,{'06037':100},Los Angeles,06037,False,False,America/Los_Angeles,35.7,55.0,45.0,21.3,2.89,43998.0,18.3,4.7,746587.0,1364.0,48.4,74.7,9.1,56.7,9.9,10.4,0.4,0.2,17.1,5.2
21618,CA,California,Hollywood,MUSICIANS INSTITUTE                                              ,6752 HOLLYWOOD BOULEVARD                          ,90028,6157,8,3,2016,33,432,7.6,A,5,33,9,0,2015,41.0,480.0,8.5,A,2014,52,542,9.5,A,90028,34.09989,-118.32692,Los Angeles,CA,California,True,,30734.0,7273.3,6037.0,Los Angeles,{'06037':100},Los Angeles,06037,False,False,America/Los_Angeles,35.7,55.0,45.0,21.3,2.89,43998.0,18.3,4.7,746587.0,1364.0,48.4,74.7,9.1,56.7,9.9,10.4,0.4,0.2,17.1,5.2
40373,CA,California,Hollywood,LOS ANGELES FILM SCHOOL (THE)                                    ,6363 WEST SUNSET BOULEVARD                        ,90028,7300,6,3,2016,193,1077,17.9,A,5,31,9,0,2015,267.0,1205.0,22.1,A,2014,281,1384,20.3,A,90028,34.09989,-118.32692,Los Angeles,CA,California,True,,30734.0,7273.3,6037.0,Los Angeles,{'06037':100},Los Angeles,06037,False,False,America/Los_Angeles,35.7,55.0,45.0,21.3,2.89,43998.0,18.3,4.7,746587.0,1364.0,48.4,74.7,9.1,56.7,9.9,10.4,0.4,0.2,17.1,5.2
40764,CA,California,Hollywood,GNOMON                                                           ,1015 NORTH CAHUENGA BOULEVARD      SUITE 5430I    ,90038,2616,6,3,2016,1,49,2.0,A,5,31,9,0,2015,1.0,39.0,2.5,A,2014,1,31,3.2,A,90038,34.08876,-118.32652,Los Angeles,CA,California,True,,27660.0,7127.3,6037.0,Los Angeles,{'06037':100},Los Angeles,06037,False,False,America/Los_Angeles,33.8,53.3,46.7,29.2,3.3,39984.0,14.6,8.8,759533.0,1229.0,31.9,73.2,7.1,42.6,6.0,5.4,0.6,0.0,40.6,4.8
1317,CA,California,La Jolla,"UNIVERSITY OF CALIFORNIA, SAN DIEGO                              ",9500 GILMAN DRIVE                  SUITE #0013 - 4,92093,13,8,1,2016,80,4572,1.7,P,5,53,9,0,2015,105.0,4928.0,2.1,P,2014,118,5436,2.1,P,92093,32.87706,-117.23058,La Jolla,CA,California,False,92037.0,,,6073.0,San Diego,"{""06073"": 100}",San Diego,06073,False,False,America/Los_Angeles,,,,,,,,,,,,,,,,,,,,
11460,CA,California,La Jolla,NATIONAL UNIVERSITY                                              ,11255 NORTH TORREY PINES ROAD                     ,92037,1011,8,2,2016,310,6234,4.9,A,5,53,9,0,2015,377.0,6770.0,5.5,A,2014,415,7195,5.7,A,92037,32.855059999999995,-117.25012,La Jolla,CA,California,True,,39724.0,1382.3,6073.0,San Diego,{'06073':100},San Diego,06073,False,False,America/Los_Angeles,44.5,48.8,51.2,54.1,2.92,105904.0,53.2,58.2,1437621.0,1976.0,74.6,57.9,4.7,81.7,1.8,10.5,0.1,0.1,1.5,4.4
7607,CA,California,Hollywood,CONCORDE CAREER COLLEGE                                          ,12412 VICTORY BOULEVARD                           ,91606,3134,5,3,2016,30,494,6.0,A,5,28,9,0,2015,66.0,503.0,13.1,A,2014,64,524,12.2,A,91606,34.1866,-118.38871,North Hollywood,CA,California,True,,44476.0,5208.8,6037.0,Los Angeles,{'06037':100},Los Angeles,06037,False,False,America/Los_Angeles,36.3,50.0,50.0,43.5,3.6,46397.0,20.5,30.6,532287.0,1243.0,21.5,64.4,7.0,69.3,4.0,5.5,0.3,0.5,18.1,2.3
41596,CA,California,Hollywood,GALAXY MEDICAL COLLEGE                                           ,6400 LAUREL CANYON BOULEVARD       SUITE 115      ,91606,1593,3,3,2016,13,74,17.5,B,5,28,9,1,2015,3.0,30.0,10.0,A,2014,7,30,23.3,A,91606,34.1866,-118.38871,North Hollywood,CA,California,True,,44476.0,5208.8,6037.0,Los Angeles,{'06037':100},Los Angeles,06037,False,False,America/Los_Angeles,36.3,50.0,50.0,43.5,3.6,46397.0,20.5,30.6,532287.0,1243.0,21.5,64.4,7.0,69.3,4.0,5.5,0.3,0.5,18.1,2.3
1153,CA,California,Northridge,"CALIFORNIA STATE UNIVERSITY, NORTHRIDGE                          ",18111 NORDHOFF                                    ,91330,8307,8,1,2016,264,6973,3.7,P,3,27,9,0,2015,413.0,7546.0,5.4,P,2014,372,7110,5.2,P,91330,34.24765,-118.52606999999999,Northridge,CA,California,True,,3273.0,3096.7,6037.0,Los Angeles,{'06037':100},Los Angeles,06037,False,False,America/Los_Angeles,19.8,40.6,59.4,2.3,,,,,,,48.1,45.1,26.6,44.1,14.3,19.0,0.1,0.6,14.1,7.8
41898,CA,California,Northridge,ACADEMY FOR SALON PROFESSIONALS                                  ,19520 NORDHOFF STREET              SUITE # 9      ,91324,2305,3,3,2016,6,52,11.5,A,5,30,9,0,2015,6.0,53.0,11.3,A,2014,9,73,12.3,A,91324,34.23901,-118.54958,Northridge,CA,California,True,,29617.0,2433.8,6037.0,Los Angeles,{'06037':100},Los Angeles,06037,False,False,America/Los_Angeles,37.4,53.7,46.3,43.3,3.53,75949.0,40.3,51.6,588323.0,1636.0,40.6,63.0,4.1,56.3,6.8,18.3,0.3,0.2,13.9,4.3
41460,CA,California,Panorama City,NATIONAL CAREER COLLEGE                                          ,14355 ROSCOE BOULEVARD             1ST FLOOR      ,91402,4222,5,3,2016,30,179,16.7,A,5,28,9,0,2015,16.0,74.0,21.6,A,2014,10,65,15.3,A,91402,34.224109999999996,-118.44481,Panorama City,CA,California,True,,70686.0,7232.8,6037.0,Los Angeles,{'06037':100},Los Angeles,06037,False,False,America/Los_Angeles,33.4,49.3,50.7,43.3,3.91,42857.0,16.3,32.9,385244.0,1241.0,17.4,68.4,9.4,39.9,3.5,14.2,0.6,0.1,40.4,1.4
36463,CA,California,Paso Robles,DESIGN'S SCHOOL OF COSMETOLOGY                                   ,2727 BUENA VISTA DRIVE             SUITE 105      ,93446,9530,3,3,2016,16,122,13.1,A,5,22,9,0,2015,24.0,111.0,21.6,A,2014,24,106,22.6,A,93446,35.66353,-120.73097,Paso Robles,CA,California,True,,44753.0,40.4,6079.0,San Luis Obispo,{'06079':100},San Luis Obispo,06079,False,False,America/Los_Angeles,40.6,49.5,50.5,55.8,3.06,65694.0,32.7,66.2,444784.0,1195.0,24.9,63.1,3.5,89.8,1.1,1.1,0.4,0.0,4.9,2.7
41812,CA,California,Reseda,SOUTHERN CALIFORNIA HEALTH INSTITUTE (SOCHI)                     ,18040 SHERMAN WAY                  SUITE 500      ,91335,3100,3,3,2016,77,387,19.8,A,5,27,9,0,2015,87.0,351.0,24.7,A,2014,56,251,22.3,A,91335,34.20105,-118.54066999999999,Reseda,CA,California,True,,80524.0,4373.7,6037.0,Los Angeles,{'06037':100},Los Angeles,06037,False,False,America/Los_Angeles,37.3,49.4,50.6,43.5,3.84,60413.0,27.7,47.5,459493.0,1395.0,25.1,65.4,6.0,58.2,4.3,13.2,0.9,0.1,19.9,3.4
41913,CA,California,Reseda,ANNENBERG SCHOOL OF NURSING                                      ,19300 SHERMAN WAY                                 ,91335,3711,3,2,2016,2,29,6.8,B,5,30,9,1,2015,0.0,15.0,0.0,B,2014,0,10,0.0,B,91335,34.20105,-118.54066999999999,Reseda,CA,California,True,,80524.0,4373.7,6037.0,Los Angeles,{'06037':100},Los Angeles,06037,False,False,America/Los_Angeles,37.3,49.4,50.6,43.5,3.84,60413.0,27.7,47.5,459493.0,1395.0,25.1,65.4,6.0,58.2,4.3,13.2,0.9,0.1,19.9,3.4
41582,CA,California,Sherman Oaks,PAUL MITCHELL THE SCHOOL SHERMAN OAKS                            ,"15301 VENTURA BOULEVARD, UNIT P2                  ",91403,5882,3,3,2016,18,172,10.4,A,5,28,9,0,2015,22.0,162.0,13.5,A,2014,9,161,5.5,A,91403,34.14659,-118.46286,Sherman Oaks,CA,California,True,,25218.0,2497.2,6037.0,Los Angeles,{'06037':100},Los Angeles,06037,False,False,America/Los_Angeles,39.8,48.3,51.7,46.2,2.84,95944.0,48.4,44.2,915988.0,1749.0,60.6,74.8,8.3,80.1,6.3,7.2,0.4,0.1,1.3,4.6
12550,CA,California,Sylmar,LOS ANGELES MISSION COLLEGE                                      ,13356 ELDRIDGE AVENUE                             ,91342,3200,5,1,2016,25,203,12.3,A,3,27,9,0,2015,35.0,248.0,14.1,A,2014,28,200,14.0,A,91342,34.31515,-118.3851,Sylmar,CA,California,True,,96487.0,642.6,6037.0,Los Angeles,{'06037':100},Los Angeles,06037,False,False,America/Los_Angeles,34.5,50.5,49.5,44.7,4.16,70106.0,32.4,65.5,428162.0,1525.0,17.5,63.8,4.5,73.8,3.6,5.3,1.0,0.1,13.6,2.7
21102,CA,California,Tarzana,COLUMBIA COLLEGE HOLLYWOOD                                       ,18618 OXNARD STREET                               ,91356,1411,6,2,2016,45,339,13.2,P,5,27,9,0,2015,28.0,272.0,10.2,P,2014,8,138,5.7,A,91356,34.15508,-118.54751,Tarzana,CA,California,True,,30804.0,1550.7,6037.0,Los Angeles,{'06037':100},Los Angeles,06037,False,False,America/Los_Angeles,42.0,49.0,51.0,45.9,3.14,74561.0,39.0,56.7,876536.0,1546.0,47.2,64.2,6.8,77.1,5.2,6.7,0.1,0.0,6.4,4.5
25459,CA,California,Tarzana,HYPNOSIS MOTIVATION INSTITUTE                                    ,"18607 VENTURA BLVD, SUITE 310                     ",91356,4154,3,2,2016,3,107,2.8,A,5,27,9,0,2015,8.0,100.0,8.0,A,2014,18,101,17.8,A,91356,34.15508,-118.54751,Tarzana,CA,California,True,,30804.0,1550.7,6037.0,Los Angeles,{'06037':100},Los Angeles,06037,False,False,America/Los_Angeles,42.0,49.0,51.0,45.9,3.14,74561.0,39.0,56.7,876536.0,1546.0,47.2,64.2,6.8,77.1,5.2,6.7,0.1,0.0,6.4,4.5
1132,CA,California,Valencia,CALIFORNIA INSTITUTE OF THE ARTS                                 ,24700 MCBEAN PARKWAY                              ,91355,2397,8,2,2016,16,320,5.0,A,5,25,9,0,2015,25.0,392.0,6.3,A,2014,19,362,5.2,A,91355,34.424659999999996,-118.58923,Valencia,CA,California,True,,31455.0,812.1,6037.0,Los Angeles,{'06037':100},Los Angeles,06037,False,False,America/Los_Angeles,40.7,50.0,50.0,50.6,3.09,92707.0,46.3,58.8,528734.0,1933.0,45.6,65.2,5.2,71.6,3.5,12.0,0.2,0.1,5.6,7.0
41589,CA,California,Valencia,FLAIR BEAUTY COLLEGE                                             ,23754 VALENCIA BOULEVARD                          ,91355,2196,3,3,2016,3,39,7.6,A,5,25,9,0,2015,1.0,35.0,2.8,A,2014,1,45,2.2,A,91355,34.424659999999996,-118.58923,Valencia,CA,California,True,,31455.0,812.1,6037.0,Los Angeles,{'06037':100},Los Angeles,06037,False,False,America/Los_Angeles,40.7,50.0,50.0,50.6,3.09,92707.0,46.3,58.8,528734.0,1933.0,45.6,65.2,5.2,71.6,3.5,12.0,0.2,0.1,5.6,7.0
1228,CA,California,Valley Glen,LOS ANGELES VALLEY COLLEGE                                       ,5800 FULTON AVENUE                                ,91401,4096,5,1,2016,45,439,10.2,A,3,28,9,0,2015,67.0,492.0,13.6,A,2014,64,425,15.0,A,91401,34.17812,-118.43146000000002,Van Nuys,CA,California,True,,41412.0,4392.5,6037.0,Los Angeles,{'06037':100},Los Angeles,06037,False,False,America/Los_Angeles,36.2,50.6,49.4,42.6,3.41,54058.0,27.1,34.1,645162.0,1318.0,33.5,70.5,7.4,61.7,5.0,5.5,0.8,0.0,23.6,3.5
6731,CA,California,Van Nuys,CASA LOMA COLLEGE                                                ,6725 KESTER AVENUE                                ,91405,4523,5,2,2016,7,236,2.9,A,5,28,9,0,2015,33.0,348.0,9.4,A,2014,31,391,7.9,A,91405,34.201190000000004,-118.44811000000001,Van Nuys,CA,California,True,,55384.0,5967.9,6037.0,Los Angeles,{'06037':100},Los Angeles,06037,False,False,America/Los_Angeles,33.4,49.2,50.8,40.8,3.73,43548.0,15.4,26.6,457292.0,1224.0,20.9,71.1,9.3,37.1,4.3,7.0,0.2,0.1,48.7,2.6
25916,CA,California,Van Nuys,NORTH-WEST COLLEGE                                               ,14540 HAYNES STREET                               ,91411,1611,3,3,2016,1,184,0.5,A,5,29,9,0,2015,5.0,147.0,3.4,A,2014,4,151,2.6,A,91411,34.17855,-118.45922,Van Nuys,CA,California,True,,25801.0,4655.8,6037.0,Los Angeles,{'06037':100},Los Angeles,06037,False,False,America/Los_Angeles,34.9,49.2,50.8,37.3,3.4,54555.0,23.2,26.9,621273.0,1361.0,34.8,73.8,6.6,69.5,6.0,6.9,0.0,0.1,14.5,3.0
41145,CA,California,West Hills,VALLEY COLLEGE OF MEDICAL CAREERS                                ,8399 TOPANGA CANYON BOULEVARD      SUITE 200      ,91304,2354,5,3,2016,13,77,16.8,A,5,30,9,0,2015,10.0,52.0,19.2,A,2014,12,66,18.1,A,91304,34.22466,-118.6325,Canoga Park,CA,California,True,,53761.0,2062.1,6037.0,Los Angeles,"{'06037':99.52,'06111':0.48}",Los Angeles|Ventura,06037|06111,False,False,America/Los_Angeles,38.2,49.7,50.3,46.0,3.56,68282.0,32.4,50.8,571509.0,1419.0,29.6,69.0,6.0,50.9,5.4,14.6,0.3,0.1,24.8,3.9
1224,CA,California,Wilmington,LOS ANGELES HARBOR COLLEGE                                       ,1111 FIGUEROA PLACE                               ,90744,2397,5,1,2016,9,117,7.6,P,3,36,9,0,2015,11.0,102.0,10.7,P,2014,23,119,19.3,P,90744,33.77864,-118.26167,Wilmington,CA,California,True,,57206.0,2491.9,6037.0,Los Angeles,{'06037':100},Los Angeles,06037,False,False,America/Los_Angeles,30.2,50.4,49.6,40.2,4.33,47776.0,16.3,37.2,374902.0,1111.0,7.6,64.4,7.0,53.9,2.4,2.9,4.0,0.4,32.6,3.7
1226,CA,California,Woodland Hills,LOS ANGELES PIERCE COLLEGE                                       ,6201 WINNETKA AVENUE                              ,91371,1,5,1,2016,83,626,13.2,A,5,27,9,0,2015,96.0,695.0,13.8,A,2014,107,624,17.1,A,91371,34.18459,-118.57636000000001,Woodland Hills,CA,California,True,,0.0,1.6,6037.0,Los Angeles,{'06037':100},Los Angeles,06037,False,False,America/Los_Angeles,,,,,,,,,,,,,,,,,,,,
1434,DC,District Of,Washington,AMERICAN UNIVERSITY (THE)                                        ,4400 MASSACHUSETTS AVENUE NW                      ,20016,8020,8,2,2016,50,2717,1.8,A,5,AL      ,3,0,2015,49.0,2682.0,1.8,A,2014,66,2749,2.4,A,20016,38.93815,-77.09147,Washington,DC,District of Columbia,True,,34783.0,2829.2,11001.0,District of Columbia,{'11001':100},District of Columbia,11001,False,False,America/New_York,37.7,44.8,55.2,46.4,3.0,150997.0,64.5,69.5,921671.0,1925.0,88.1,64.7,4.4,79.0,6.7,7.4,0.3,0.0,1.5,5.1
1464,DC,District Of,Washington,WESLEY THEOLOGICAL SEMINARY                                      ,4500 MASSACHUSETTS AVENUE NW                      ,20016,5690,8,2,2016,2,82,2.4,A,5,AL      ,3,0,2015,4.0,102.0,3.9,A,2014,3,96,3.1,A,20016,38.93815,-77.09147,Washington,DC,District of Columbia,True,,34783.0,2829.2,11001.0,District of Columbia,{'11001':100},District of Columbia,11001,False,False,America/New_York,37.7,44.8,55.2,46.4,3.0,150997.0,64.5,69.5,921671.0,1925.0,88.1,64.7,4.4,79.0,6.7,7.4,0.3,0.0,1.5,5.1
1437,DC,District Of,Washington,CATHOLIC UNIVERSITY OF AMERICA (THE)                             ,"620 MICHIGAN AVENUE, NORTHEAST                    ",20064,2,8,2,2016,34,1342,2.5,P,5,AL      ,3,0,2015,50.0,1448.0,3.4,P,2014,33,1390,2.3,P,20064,38.93639,-76.99914,Washington,DC,District of Columbia,True,,2207.0,3769.6,11001.0,District of Columbia,{'11001':100},District of Columbia,11001,False,False,America/New_York,19.9,40.7,59.3,1.8,,,,,,,73.7,36.7,9.0,75.4,12.6,7.2,0.0,0.2,1.3,3.3
41427,DC,District Of,Washington,PONTIFICAL JOHN PAUL II INSTITUTE FOR STUDIES ON MARRIAGE AND FAM,"620 MICHIGAN AVENUE, NE            MCGIVNEY HALL  ",20064,1,8,2,2016,0,29,0.0,B,5,AL      ,3,1,2015,0.0,30.0,0.0,B,2014,0,34,0.0,B,20064,38.93639,-76.99914,Washington,DC,District of Columbia,True,,2207.0,3769.6,11001.0,District of Columbia,{'11001':100},District of Columbia,11001,False,False,America/New_York,19.9,40.7,59.3,1.8,,,,,,,73.7,36.7,9.0,75.4,12.6,7.2,0.0,0.2,1.3,3.3
1441,DC,District Of,Washington,UNIVERSITY OF THE DISTRICT OF COLUMBIA                           ,"4200 CONNECTICUT AVENUE NORTHWEST  BLDG. 39, SUITE",20008,1175,8,1,2016,187,1245,15.0,P,2,AL      ,3,0,2015,223.0,1473.0,15.1,P,2014,204,1251,16.3,P,20008,38.93594,-77.05932,Washington,DC,District of Columbia,True,,29457.0,3496.9,11001.0,District of Columbia,{'11001':100},District of Columbia,11001,False,False,America/New_York,38.3,46.3,53.7,40.0,2.6,117195.0,58.7,39.3,791539.0,1940.0,88.1,79.0,3.0,80.2,7.9,5.5,0.1,0.0,3.6,2.6
